Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_05186	398.1934564	25.69208221	1781.672974	2013.54541	1612.094604	1562.023682	1500.130737
Cluster_05187	398.2049623	1.587321012	823.9098511	815.9824219	751.5718994	798.680603	855.737793
Cluster_05189	398.2304574	20.25897322	15616.07031	17206.6582	17460.83398	17403.11523	17938.42773
Cluster_05193	398.2897387	25.37732219	531.730896	731.0326538	526.6045532	708.1889648	654.0792847
Cluster_05194	398.3268623	24.41173475	17775.2832	18648.6543	18050.81055	17509.88867	18525.85352
Cluster_05197	398.32599	29.33030845	1296.918579	1337.471313	1194.187378	1246.612793	1023.063721
Cluster_05198	398.3265132	34.2887344	3994.193604	5964.777344	4618.356934	5523.486816	5508.928223
Cluster_05199	398.3346443	24.42295342	4525.296387	5071.648926	6101.141602	4439.750488	4104.285645
Cluster_05201	398.3632568	35.02484974	19305.77539	20427.61328	20020.13281	21255.77344	22476.52539
Cluster_05202	398.370814	36.96950834	1877.930176	1441.489502	1470.825684	1680.50293	1649.298828
Cluster_05203	398.3711491	39.77755204	536.0988159	731.170105	624.5186768	701.3781128	645.8154297
Cluster_05204	398.398702	39.14951824	2118.879395	1826.638672	1743.715332	2043.5896	2049.945313
Cluster_05205	398.3990009	37.119282	662.1923218	657.6578369	694.4769287	738.5598145	526.7205811
Cluster_05207	399.0895193	1.396814151	1748.406738	1837.224121	1838.915527	1821.865845	1732.700073
